designation        ,ra         ,dec        ,glon       ,glat       ,w1mpro,w1sigmpro,w2mpro,w2sigmpro,w3mpro,w3sigmpro,w4mpro,w4sigmpro,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass,E_B_V_SFD
J081812.59+293141.8,124.5524903,29.5282962 ,193.0752220,30.7287672 ,14.291,0.029    ,14.056,0.045    ,12.073,0.342    ,9.084 ,null     ,15.488   ,0.050       ,14.740   ,0.054       ,14.529   ,0.070       ,0.0319     
J081833.11+162035.7,124.6379672,16.3432606 ,207.2861995,26.4342933 ,14.595,0.033    ,14.415,0.055    ,11.984,0.350    ,8.809 ,null     ,15.625   ,0.055       ,15.150   ,0.085       ,14.650   ,0.080       ,0.0335     
J082118.94+041614.4,125.3289338,4.2706877  ,219.5865450,21.9105381 ,14.672,0.029    ,14.428,0.064    ,12.042,0.330    ,8.357 ,null     ,15.600   ,0.062       ,15.196   ,0.091       ,14.519   ,0.096       ,0.0207     
J082645.75+413553.5,126.6906368,41.5982041 ,179.4133207,34.8647158 ,14.290,0.027    ,14.186,0.044    ,12.137,0.351    ,8.983 ,null     ,15.412   ,0.042       ,14.756   ,0.060       ,14.451   ,0.065       ,0.0356     
J083613.03+090057.6,129.0542972,9.0160245  ,216.7617630,27.3527394 ,13.593,0.025    ,13.394,0.032    ,11.877,0.324    ,8.819 ,null     ,14.555   ,0.035       ,13.988   ,0.045       ,13.687   ,0.038       ,0.0485     
J083744.74+213849.0,129.4364196,21.6469668 ,203.4601255,32.5683545 ,13.822,0.027    ,12.719,0.031    ,9.021 ,0.036    ,7.226 ,0.127    ,15.582   ,0.054       ,14.855   ,0.060       ,14.517   ,0.070       ,0.0349     
J083857.27+182530.6,129.7386298,18.4251673 ,207.1487137,31.7266841 ,13.019,0.025    ,12.760,0.030    ,11.326,0.278    ,8.553 ,null     ,14.411   ,0.028       ,13.715   ,0.033       ,13.276   ,0.034       ,0.0299     
J084050.81+533104.5,130.2117282,53.5179170 ,164.7137847,37.5721544 ,15.558,0.042    ,15.431,0.092    ,12.183,0.299    ,9.122 ,null     ,16.461   ,0.114       ,15.665   ,0.113       ,15.487   ,0.177       ,0.0310     
J084329.01+124946.1,130.8708872,12.8294832 ,213.6762918,30.5838032 ,13.962,0.027    ,13.772,0.039    ,11.946,0.312    ,8.936 ,null     ,15.154   ,0.030       ,14.460   ,0.046       ,14.195   ,0.055       ,0.0414     
J084754.83+092938.6,131.9784967,9.4940572  ,217.7121837,30.1570536 ,13.361,0.025    ,13.215,0.030    ,11.857,0.318    ,9.064 ,null     ,14.383   ,0.034       ,13.721   ,0.039       ,13.485   ,0.038       ,0.0728     
J085333.00+201453.6,133.3875184,20.2482353 ,206.5279097,35.5879750 ,12.925,0.024    ,12.776,0.027    ,11.555,0.236    ,8.918 ,null     ,13.931   ,0.026       ,13.351   ,0.026       ,13.078   ,0.025       ,0.0277     
J085543.59+281610.3,133.9316412,28.2695470 ,197.0770002,38.3538711 ,13.820,0.026    ,13.692,0.039    ,11.963,0.366    ,8.469 ,null     ,14.822   ,0.035       ,14.148   ,0.048       ,14.010   ,0.050       ,0.0322     
J090017.26+281616.0,135.0719294,28.2711386 ,197.3737509,39.3311886 ,14.885,0.033    ,14.357,0.054    ,12.044,0.335    ,8.616 ,null     ,16.593   ,0.136       ,15.757   ,0.150       ,15.565   ,0.190       ,0.0278     
J090219.08+235812.3,135.5795140,23.9700910 ,202.8745995,38.6696737 ,15.468,0.043    ,15.362,0.101    ,11.965,0.324    ,8.863 ,0.435    ,16.537   ,0.114       ,15.875   ,0.117       ,15.576   ,0.156       ,0.0279     
J090326.89+250551.9,135.8620595,25.0977575 ,201.5717782,39.2274593 ,15.039,0.036    ,14.875,0.075    ,11.905,0.314    ,8.882 ,null     ,16.180   ,0.107       ,15.704   ,0.160       ,15.008   ,0.125       ,0.0361     
J090544.12+275549.3,136.4338379,27.9303719 ,198.1623051,40.4235299 ,13.573,0.025    ,13.418,0.032    ,11.963,0.289    ,8.585 ,null     ,14.619   ,0.031       ,13.896   ,0.034       ,13.587   ,0.035       ,0.0297     
